char,source,text,keywords,context,count,cluster
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Despite his promising beginnings, Arthas became one of the most powerful and evil beings Azeroth would ever know. Although he killed the necromancer Kel'Thuzad, Arthas was unable to stop the spread of the plague and resorted to increasingly desperate methods, such as purging the city of Stratholme. Taking up the cursed runeblade Frostmourne, Arthas was able to defeat the demon Mal'Ganis, but he lost his soul in the process. Becoming a death knight of the Scourge, he led the undead in destroying Lordaeron, Quel'Thalas, and Dalaran. Arthas later made his way to the Frozen Throne of Icecrown and merged with the Lich King.[9]
",['power'],became one of the most powerful and evil beings Azeroth would,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Ruling as the Lich King for years afterward, Arthas had the last remnants of his humanity destroyed and was ultimately defeated in combat by Highlord Tirion Fordring and his champions of the Light. Cradled by the spirit of his father, Arthas Menethil died, leaving the mantle of the Lich King to be taken by a noble soul who would contain the power of the Scourge. Arthas' soul found no rest in the afterlife, instead being forged into a weapon in the schemes of the Jailer that was spent until nothing was left.
",['power'],soul who would contain the power of the Scourge. Arthas' soul,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Leaving Falric and Marwyn to oversee his forces in the city, Arthas ran to the Balnir Farmstead. There he used his necromantic powers to raise his faithful steed Invincible into undeath, allowing it to serve as his mount once again. 
",['power'],There he used his necromantic powers to raise his faithful steed,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Tichondrius tasked Arthas with gathering the members of the vile Cult of the Damned that were hiding in Vandermar, learning that Kel'Thuzad had expected him, much to his surprise. They aided him with their magical abilities as he traveled to Andorhal where he was to recover Kel'Thuzad's corpse. Arthas initially asked as to why they couldn't reanimate him on the spot, only to be informed by a cultist that a being like Kel'Thuzad required a powerful energy source. He confronted the paladin guarding the crypt, Gavinrad the Dire, who had given Arthas his holy warhammer at his induction ceremony into the Silver Hand. After killing Gavinrad, he recovered the remains of the necromancer. This brought Kel'Thuzad's ghost into being, and he secretly instructed Arthas not to trust the dreadlords. Arthas quietly contemplated this.
",['power'],being like Kel'Thuzad required a powerful energy source. He confronted the,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Kel'Thuzad's remains were badly decomposed and needed to be taken to the mystical Sunwell in Quel'Thalas to be revived. To ensure that the remains would survive the trip, Arthas was tasked with taking a special urn that was being held by the Knights of the Silver Hand. Arthas killed two paladins, Ballador the Bright and Sage Truthbearer, who both condemned Arthas' betrayal. He then faced Uther the Lightbringer, who explained that the urn held the ashes of his father, King Terenas. The two engaged in a duel with Uther initially having the upper hand, knocking Arthas down and sending Frostmourne flying from his hands. As Arthas awaited the killing blow, the sword seemed to find its own way into his hands and he was granted more power by the Lich King. The battle began to turn in Arthas' favor. Eventually, Uther, covered in blood from his wounds, fell to his knees and told Arthas he hoped there was a special place in hell waiting for him. Arthas replied that they would never know because he intended to live forever, then delivered the killing blow. He seized the urn and blasphemed his father's remains by throwing them, which suddenly swarmed on him with the wind, choking him and burning his eyes. Arthas had the remains of Kel'Thuzad placed within the urn, and then began the long journey to Quel'Thalas.[33]
",['power'],and he was granted more power by the Lich King. The,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Arthas and his troops repelled the mages' vast counterattack as Kel'Thuzad began the lengthy summoning of the demon lord, reinforced by the Burning Legion's forces as the ritual progressed. Once Archimonde arrived, he proclaimed that the Lich King was of no further use to the Legion, and Tichondrius was placed in command of the Scourge. Arthas was left to wonder what would become of him and Kel'Thuzad, but the lich replied that all was going as the Lich King foresaw.[37] The pair disappeared as Archimonde took his revenge on the city, destroying Dalaran with a single powerful ritual.[38]
",['power'],destroying Dalaran with a single powerful ritual.[38],1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Arthas sensed Illidan's yearning for power and approached him in Felwood. He told the recently freed demon hunter how to claim the skull's powers as his own, whereupon he could destroy Tichondrius. Illidan agreed to his plan, and Arthas disappeared again,[40] awaiting to be teleported by Kel'Thuzad.[41]
",['power'],"how to claim the skull's powers as his own, whereupon he | Arthas sensed Illidan's yearning for power and approached him in Felwood.",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Archimonde left a trio of dreadlords behind in the ruined palace gardens of Lordaeron to ensure that the nation remained under control, and to watch over the cunning servitors of Ner'zhul. When the demon lord was defeated, however, they were not originally aware of it. This changed several months later, when Arthas returned to reclaim his throne. He threatened the dreadlords, who immediately fled, and then called Sylvanas and Kel'Thuzad to his side to stop a large group of human refugees, who were led by the paladins Halahk the Lifebringer, Magroth the Defender, and Dagren the Orcslayer as they tried to stall the Scourge so they could escape into the canyons, where the undead would have difficulty hunting them. However, during the climax of the battle, Arthas had a painful seizure, and felt the Lich King calling out to him. Despite his diminished powers, Arthas fought on until all the humans in the area were killed.[43]
",['power'],"to him. Despite his diminished powers, Arthas fought on until all",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Little did Arthas know that the Lich King's power had dwindled to the point that Sylvanas was no longer under his control. In secret, she attended a meeting with the three dreadlords, who told her that the Lich King's power was waning, and so the time had come to claim her vengeance.[44]
",['power'],"her that the Lich King's power was waning, and so the | know that the Lich King's power had dwindled to the point",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"As Arthas returned to the capital city with Kel'Thuzad to discuss the threat, he was separated from Kel'Thuzad by the dreadlords, who attempted to kill him with several ghouls. Arthas killed the rogue undead and was forced to collect what loyalists he could find and fight his way through the dreadlords' forces, which included the powerful abomination Bloodfeast. As he arrived on the city's limits, he was saved by a cadre of banshees, who told him that Sylvanas had sent them to see him safely away.[45] However, as they neared an empty spot in the forest, Arthas received another vision from the Lich King, who told him he'd been betrayed. Sylvanas then appeared and shot him with a paralyzing arrow, promising to torture him like he had done to her. Before she could start, Kel'Thuzad stepped in and chased her off with his forces.[46]
",['power'],"dreadlords' forces, which included the powerful abomination Bloodfeast. As he arrived",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Arthas worried that Kael'thas was right and that they would never reach the Citadel before Illidan could. However, Anub'arak revealed that they could use the ancient tunnels of Azjol-Nerub as a shortcut. With little choice, Arthas accepted the crypt lord's suggestion. While setting up a camp to fight to the passageway, Anub'arak suggested raiding the hoard of Sapphiron, an ancient blue dragon and servant of Malygos and using whatever treasures the dragon had to strengthen themselves. Not only did they slay the dragon, but Arthas used what power he had left to raise Sapphiron into a powerful frost wyrm.[47]
",['power'],"to raise Sapphiron into a powerful frost wyrm.[47] | dragon, but Arthas used what power he had left to raise",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"When Arthas faced off against Baelgun, the dwarf warned that the shifting earth had released an ancient evil from below the kingdom.[48] As Arthas and Anub'arak delved deeper into the kingdom, that evil became apparent - the faceless ones, a powerful, vicious race thought only to exist in legend. Arthas and Anub'arak even managed to defeat the incredibly powerful forgotten one.[49]
",['power'],"- the faceless ones, a powerful, vicious race thought only to | managed to defeat the incredibly powerful forgotten one.[49]",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"As they made their way to the Upper Kingdom, an earthquake collapsed part of the passage they were in, separating Anub'arak from Arthas. The young king had to rely upon his wits to see himself through several daunting booby traps before Anub'arak dug his way to Arthas. Once reunited, the crypt lord complimented the young death knight, saying he now understood why Ner'zhul had chosen him as his champion.[50] As they climbed out of Azjol-Nerub, the Lich King contacted Arthas once again, and explained that he was losing his power because the Frozen Throne had been cracked and his energy was seeping from it. Ner'zhul replenished Arthas' powers, knowing he would need them in the coming battle.[51]
",['power'],"that he was losing his power because the Frozen Throne had | from it. Ner'zhul replenished Arthas' powers, knowing he would need them",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"With a great cry of strength, Arthas brought Frostmourne to bear against the Lich King's icy prison and with a haunting scream, the ice that encased the Frozen Throne and the armour exploded, and shards of the ice scattered on the ground. With Ner'zhul's helm at his feet, Arthas leaned forward, picked it up, and placed the unimaginably powerful artifact on his head. 
",['power'],"up, and placed the unimaginably powerful artifact on his head.",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"As the Lich King, Arthas instigated another Scourge invasion of Azeroth, provoking a counteroffensive in Northrend by the Alliance, the Horde, the Argent Crusade, and the Knights of the Ebon Blade. By doing so, he lured powerful heroes to Northrend and placed many challenges before them, seeking to weed out the weak and make the strong question their own morality. He planned to raise the world's greatest fighters as his new champions, and use them to spearhead attacks on their homelands, in a reflection of his own journey.[64][65]
",['power'],"By doing so, he lured powerful heroes to Northrend and placed",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Anduin was forced to follow the Jailer to the Sepulcher of the First Ones and try to waylay the heroes of Azeroth, including Jaina, Uther, and Sylvanas. During the battle, the adventurers helped restore Anduin's willpower, allowing him to periodically manifest the Remnant of a Fallen King from the sword. Ultimately, however, Anduin was able to free himself from the Jailer's control and shatter Kingsmourne back into Shalamayne, freeing the remnant of Arthas: a faintly glowing flicker, consumed in the forges of the Jailer, with not even enough of a soul left to receive a proper judgment. Sylvanas stated that despite her hatred, she had become no better than her nemesis in her pursuit of vengeance and that she would have to answer for this, but that Arthas' own legacy was now at an end. She told the remnant ""May the last whisper of your name fade and be forgotten"", and the heroes looked on in silence as this last part of Arthas Menethil faded away forever.[78]
",['power'],"the adventurers helped restore Anduin's willpower, allowing him to periodically manifest",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"When Uther was reunited with Jaina Proudmoore, the two shared their memories of Arthas, whom both had loved in their own ways, and Uther advised Jaina that she could choose to leave her painful memories of Arthas behind and instead carry her love forward with her so that it could lend her strength.[86] After Arthas' soul faded away, Jaina told adventurers that she felt conflicted about him, as he always thought he acted in the name of justice even when committing atrocities, and that she was one of the few who could still remember the prince he'd been and not just the monster he became.[87]
",['justice'],"acted in the name of justice even when committing atrocities, and",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Initially, Arthas was portrayed as a charismatic, idealistic, and courageous young man. He was deeply committed to his people and the Kingdom of Lordaeron, training as a paladin under Uther the Lightbringer. However, even in his youth, he exhibited significant character flaws. He was impulsive, stubborn, and possessed a streak of arrogance. His strong sense of justice was often rigid, and he demonstrated impatience with the complexities and compromises of leadership and politics. He felt immense pressure to prove himself as a worthy heir to the throne, which fueled a relentless, sometimes reckless, drive for decisive action.
",['justice'],"arrogance. His strong sense of justice was often rigid, and he",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Arthas' personal kill count contains several characters in Warcraft's lore, including the kings of three powerful nations. This list includes:
",['power'],including the kings of three powerful nations. This list includes:,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"The young Arthas fills me with hope. He recently became a full paladin, and is nearly all I could hope for in a Knight of the Silver Hand. He is strong and powerful, with a devotion to his people that borders on zealousness. He's a fine paladin and will make a fine king when our beloved Terenas leaves us. Arthas has some growing to do, so I hope King Terenas will remain here for some time.",['power'],"Hand. He is strong and powerful, with a devotion to his",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"The only thing that bothers me about Arthas is that he has a disturbing quality in him. Sometimes, in training, I have seen him go a little far while sparring. He is so dedicating to winning the match that he forgets that it is only for training. He lacks control; I suppose it's a sense of ruthlessness that lies under his honorable exterior. I have full confidence that he will use this dedication to battle for his people, and I look forward to testing him. Once he really wets his sword, I can begin to teach him control. I don't want to rein his power just yet, until I can see what he's capable of.",['power'],"don't want to rein his power just yet, until I can",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Arthas loves his people very much. We recently visited some of the poorer villages outside of Lordaeron, giving healing to those in need. I wanted to test his healing powers, as well as see how he interacted with his people beyond the wealthy nobles in the city. He was full of pity for these people, weeping for a woman who had lost her leg in a wolf attack. After healing her pain, he set out on horseback, searching for the wolf. He slew three, bringing the pelts back to the woman to serve as her blankets. I was touched, but again, a little alarmed at his single-mindedness. She was grateful, and as we were there to serve the wounded and sick, our work was completed.",['power'],"wanted to test his healing powers, as well as see how",1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"It is my sad duty to bring you very grim news. I am certain you know of Muradin's mission here in Northrend to strike at the Scourge and discover useful artifacts. We fought together against the Scourge, and although I survived, Muradin fell to the undead and demons. I grieve for my brave friend and your valiant brother. Yet know that his heroic death was not in vain, for his life ensured my victory against the Lich King's minions — and my recovery of the ancient sword known as Frostmourne. I shall be returning to Lordaeron soon. With Frostmourne in hand, I come to reestablish order and bring forth a shining new age. Muradin's remaining clansmen here will take his body back to Ironforge. You cannot know how deep are my sympathies. I know that this letter offers small consolation, but I felt you should learn of Muradin's death as soon as possible. You have lost a brother, and I have lost a valued friend.",['duty'],It is my sad duty to bring you very grim,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Arthas could be seen as a ""reverse"" version of King Arthur. Frostmourne is comparable to the Sword in the Stone/Excalibur, Ner'zhul (or Kel'Thuzad) could be seen as roughly equivalent to Merlin (the wizard figure behind the king), and Uther shares his name with King Arthur's father. In contrast to Arthur, Arthas destroyed a Camelot-styled kingdom and built its opposite.  In addition, Jaina is to Arthas what Guinevere was to Arthur and both have an older sister (Morgana for Arthur and Calia for Arthas) who can wield supernatural power.
",['power'],Arthas) who can wield supernatural power.,1,2
arthas,https://wowpedia.fandom.com/wiki/Arthas_Menethil,"Arthas also draws parallels with Anakin Skywalker/Darth Vader. Anakin is another prominent example of the ""fallen hero"" archetype in modern fiction. Like Anakin, Arthas began his career as a promising knight sworn to altruism and justice, under the tutelage of an experienced warrior who attempted to instill these values in his pupil. Both men were eventually seduced by dark powers, and aided in the destruction of their orders and the killing of their mentors.  Both began their descent to villainy with massacres (Arthas' Culling of Stratholme and Anakin either when he wiped out the Tusken Raider tribe that killed his mother or purged the Jedi Temple after becoming Darth Vader).  Both ended their lives not as Darth Vader or the Lich King, but as Anakin Skywalker and Arthas Menethil, respectively. One key difference though was at the end of their lives; where as Vader redeemed himself and became Anakin by destroying his master to save his son Luke, Arthas had no such redemption given to him.
","['power', 'justice']","were eventually seduced by dark powers, and aided in the destruction | knight sworn to altruism and justice, under the tutelage of an",2,2
arthas,https://wowpedia.fandom.com/wiki/Fall_of_the_Lich_King,"All across Northrend, many battles have been fought against the vile Scourge. Countless lives have been lost since the Alliance and the Horde first reached these frozen wastes, but the champions of Azeroth continue to march forward—and Icecrown Citadel, the cornerstone of the Scourge's power and the home base of the Lich King, is their final target. Tirion Fordring and the Argent Crusade have forged an accord with Darion Mograine and the Knights of the Ebon Blade to form the Ashen Verdict. This coalition's strongest combatants, along with the champions of the Alliance and the Horde, will lead the charge against the citadel. In the new Icecrown Citadel raid dungeon, Azeroth's mightiest will face terrifying challenges before ascending to the Frozen Throne, where the Lich King and his runeblade, Frostmourne, await to deliver the heroes to their deaths...
",['power'],the cornerstone of the Scourge's power and the home base of,1,2
arthas,https://wowpedia.fandom.com/wiki/Wrath_of_the_Lich_King_cinematic,"O King.....
Long live the king,
May he reign...forever.
May his strength
fail him never.
First in battle
last in retreat.
Even in death...
Ha! Ma! Da! Ma!
Raise this dragon now!
May his strength fail him never
May his reign last forever
King....
May his strength
fail him never
See his power...
Darken the sky...
May his reign last forever
Long live the king...
Long live the king!
",['power'],fail him never See his power... Darken the sky... May his,1,2
arthas,https://wowpedia.fandom.com/wiki/Wrath_of_the_Lich_King_cinematic,"The opening cinematic of World of Warcraft: Wrath of the Lich King consists in Arthas reminiscing on the words of his father. It is thus narrated by Terenas Menethil II, telling Arthas about his duty as the heir to the throne of Lordaeron.[1]
",['duty'],"II, telling Arthas about his duty as the heir to the",1,2
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"“There is no sacrifice too great if it brings an end to the Burning Legion.”
",['sacrifice'],“There is no sacrifice too great if it brings,1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"Illidan Stormrage, commonly known as the Betrayer, is the first of the demon hunters, the former self-proclaimed Lord of Outland, the former ruler of the Black Temple, and the original leader of the Illidari. He is the twin brother of Malfurion Stormrage and was, like his sibling, in love with Tyrande Whisperwind. Originally a powerful night elf sorcerer, Illidan officially betrayed his people by defecting to the demonic Burning Legion during the War of the Ancients, though his reasons for doing so were noble as he secretly aimed to repel the Legion's invasion.[13] He eventually returned to the side of his fellow night elves, but his creation of a second Well of Eternity at the end of the war caused his people to name him ""Betrayer"" and imprison him in the Barrow Deeps below Mount Hyjal. There he remained for over 10,000 years, watched over by the warden Maiev Shadowsong and her Watchers.
",['power'],"with Tyrande Whisperwind. Originally a powerful night elf sorcerer, Illidan officially",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"A struggle for Illidan's soul ensued between the Legion and the forces of Azeroth, including the remaining Illidari, culminating in Illidan's resurrection atop the Nighthold. The Betrayer subsequently joined forces with Azeroth's defenders as they battled the Legion across the Broken Shore and within the Tomb of Sargeras. During a battle with Kil'jaeden in the Twisting Nether, Illidan used an artifact known as the Sargerite Keystone to open a rift that brought the worlds of Azeroth and Argus within reach of each other. Illidan accompanied Azeroth's champions as they traveled to Argus to battle the Legion alongside the Army of the Light, whose leader—the prime naaru Xe'ra—believed that Illidan was the Chosen One,[16] a hero of the Light prophesied to end the age of demons.[17] Illidan rejected the idea of having his destiny forged for him and killed Xe'ra when the naaru tried to forcibly infuse him with the Light.[16] The Army of the Light and their allies eventually assaulted Sargeras' seat of power, Antorus, and freed the captive spirits of the titan Pantheon, who imprisoned Sargeras at the Seat of the Pantheon for his transgressions. While the rest of Azeroth's heroes returned home to their world, Illidan chose to remain behind, becoming Sargeras' jailor.
",['power'],"eventually assaulted Sargeras' seat of power, Antorus, and freed the captive",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"When Archimonde's invasion of Azeroth had begun and Azshara's treachery became known, Malfurion convinced Illidan to leave his queen. Illidan followed his brother. But as Cenarius and the dragons entered the battle, Malfurion came to understand that their adversaries were too powerful to fall in combat. To end the invasion, he plotted the destruction of the Well of Eternity. The idea appalled Illidan. The Well was the source of his magic — and likely of the elves' immortality — and its loss was a price far too dear for him to pay. In addition, the night elf found that he increasingly admired the powers of the Burning Legion, seeing a magical purity that underlay their chaotic behavior. Where the night elves struggled to maintain their ground, the Burning Legion's numbers did not seem to permanently diminish.
",['power'],"that he increasingly admired the powers of the Burning Legion, seeing | that their adversaries were too powerful to fall in combat. To",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"After the death of Latosius, Illidan became the leader of the Moon Guard. However, Illidan did not use the Moon Guard to their fullest potential. Instead of having them cast spells, he ordered them to transfer their power into him, thus empowering his own spells instead; but in doing so, this opened them to attack from the demons with no means to defend themselves.[21][22] After one particular battle defending Black Rook Hold, where he drained his own soldiers to the point that they died, Illidan realized that sacrifice was necessary to defeat the Burning Legion, and the others were fools for not seeing it.[23]
","['power', 'sacrifice']","their power into him, thus empowering his own spells instead; but | they died, Illidan realized that sacrifice was necessary to defeat the | ordered them to transfer their power into him, thus empowering his",2,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"Illidan had strong feelings for Tyrande Whisperwind, a novice priestess in the Sisters of Elune. Illidan so desired to impress Tyrande that he often acted without thinking, particularly in magic; he never realized that these displays weren't quite what the priestess was looking for in a mate. But while Illidan struggled to win her heart, none of them realized that the battle was over soon after it had begun; Tyrande had chosen Malfurion almost from the beginning. Xavius knew of this and used his power to darken Illidan's thoughts, convincing him that if Malfurion were to die, Illidan would no longer have a rival for Tyrande's love. Finally, the sight of Tyrande in the arms of his brother shattered his final ties to the defenders.
",['power'],"of this and used his power to darken Illidan's thoughts, convincing",1,1
